name,source,gender,wikidata,type
"A. Jacobsstraat",wikidata,F,Q463478,way
"Aagje Dekenstraat",wikidata,F,Q255601,way
Adelheidstraat,wikidata,F,Q57664,way
"Albertine Agnesplein",wikidata,F,Q271950,way
"Albertine Agnesstraat",wikidata,F,Q271950,way
"Amalia van Solmsstraat",wikidata,F,Q62511,way
"Anna Blamanstraat",wikidata,F,Q1917464,way
"B.S.F. von Suttnerstraat",wikidata,F,Q18456,way
Beatrixstraat,wikidata,F,Q29574,way
"Betje Wolffstraat",wikidata,F,Q183007,way
Bosboom-Toussaintstraat,wikidata,F,Q446879,way
"C. Pothuisstraat",wikidata,F,Q2004957,way
"C.G. Wichmannstraat",wikidata,F,Q1095182,way
Christinastraat,wikidata,F,Q435324,way
"E.G. Balchstraat",wikidata,F,Q215139,way
Emmabrug,wikidata,F,Q57664,way
Emmaplein,wikidata,F,Q57664,way
Emmastraat,wikidata,F,Q57664,way
Emmaviaduct,wikidata,F,Q57664,way
"G. Meirstraat",wikidata,F,Q42992,way
"Hélène Swarthlaan",wikidata,F,Q4981610,way
"Henriëtte Roland Holststraat",wikidata,F,Q441439,way
"Ina Boudierplantsoen",wikidata,F,Q2167972,way
Irenestraat,wikidata,F,Q263623,way
"J. Addamspad",wikidata,F,Q180989,way
"J.A. de Bree-Meijerstr",wikidata,F,Q106612325,way
"Joke Smitpad",wikidata,F,Q2492882,way
"Josine Reulingstraat",wikidata,F,Q63485725,way
"Juliana van Stolbergstraat",wikidata,F,Q202566,way
Julianaplein,wikidata,F,Q154946,way
Julianastraat,wikidata,F,Q154946,way
Julianaweg,wikidata,F,Q154946,way
Koninginnelaan,wikidata,F,Q150747,way
"Louise Henriettestraat",wikidata,F,Q196301,way
"M. Wibautstraat",wikidata,F,Q2149947,way
"Madame Curiestraat",wikidata,F,Q7186,way
"Maria Dermoutlaan",wikidata,F,Q2880471,way
"Natalie Barneykade",wikidata,F,Q34782,way
"Prinses Margrietstraat",wikidata,F,Q268821,way
Prinsesseweg,wikidata,F,Q154946,way
"R. Vosstraat",wikidata,F,Q2417514,way
"T.W.S. Mansholtstraat",wikidata,F,Q2176126,way
"Ten Oeverlaan",wikidata,F,Q20031766,way
"Top Naefflaan",wikidata,F,Q5260550,way
Vasalislaan,wikidata,F,Q242016,way
"W. Druckerpad",wikidata,F,Q462002,way
Wilhelminakade,wikidata,F,Q150747,way
Zonnelaan,wikidata,F,Q154946;Q525,way
"A. Morostraat",wikidata,M,Q171834,way
"A.J. Lutulistraat",wikidata,M,Q212955,way
"A.P. Fokkerstraat",wikidata,M,Q74621934,way
"Aart van der Leeuwlaan",wikidata,M,Q524770,way
"Abel Tasmanplein",wikidata,M,Q42188,way
"Abel Tasmanstraat",wikidata,M,Q42188,way
"Abraham Kuyperlaan",wikidata,M,Q320014,way
Achterberglaan,wikidata,M,Q592299,way
"Admiraal de Ruyterlaan",wikidata,M,Q316945,way
"Adriaan Pauwstraat",wikidata,M,Q367636,way
"Adriaan van Ostadestraat",wikidata,M,Q352438,way
"Albert Hahnlaan",wikidata,M,Q2738705,way
Anselmusstraat,wikidata,M,Q43939,way
"Antonius Deusinglaan",wikidata,M,Q18945012,way
"Antoon Coolenlaan",wikidata,M,Q608851,way
"Appie Groenlaan",wikidata,M,Q5273018,way
Arminiusstraat,wikidata,M,Q313070,way
Augustinusstraat,wikidata,M,Q8018,way
Bachkade,wikidata,M,Q1339,way
Bakemastraat,wikidata,M,Q519135,way
Barthstraat,wikidata,M,Q107473,way
Beethovenlaan,wikidata,M,Q255,way
Belcamposingel,wikidata,M,Q2894270,way
"Ben Walrechtstraat",wikidata,M,Q2661072,way
Berlageweg,wikidata,M,Q318816,way
Bernardusstraat,wikidata,M,Q188411,way
Bernhardlaan,wikidata,M,Q57304,way
Bijvoetstraat,wikidata,M,Q822308,way
Bilderdijklaan,wikidata,M,Q1375186,way
Blauwborgje,wikidata,M,Q106466939;Q188293,way
Boekenlaan,wikidata,M,Q52156705,way
Boerhaavelaan,wikidata,M,Q313093,way
Bonhoefferstraat,wikidata,M,Q76326,way
Bordewijklaan,wikidata,M,Q1382474,way
"Bosch van Rosenthalstraat",wikidata,M,Q2241119,way
Brederostraat,wikidata,M,Q560740,way
Breitnerstraat,wikidata,M,Q289441,way
"Burg. G. van Barneveldstraat",wikidata,M,Q20859363,way
"Burg. S. Gockingastraat",wikidata,M,Q20859927,way
Buysstraat,wikidata,M,Q1959996,way
"C. Jetsesstraat",wikidata,M,Q2049192,way
Calvijnstraat,wikidata,M,Q37577,way
Camphuysenstraat,wikidata,M,Q1932984,way
Chopinlaan,wikidata,M,Q1268,way
Clausstraat,wikidata,M,Q159609,way
Colijnlaan,wikidata,M,Q686476,way
"Cort van der Lindenlaan",wikidata,M,Q1397415,way
Couperusstraat,wikidata,M,Q437798,way
Crouwelstraat,wikidata,M,Q555389,way
Cuypersweg,wikidata,M,Q540431,way
"D. Smidstraat",wikidata,M,Q18655153,way
"D.D. Eisenhowerstraat",wikidata,M,Q9916,way
"D.H.A.C. Hammarskjöldstraat",wikidata,M,Q1267,way
"Da Costastraat",wikidata,M,Q1673766,way
"Daniël Ruynemanlaan",wikidata,M,Q2387865,way
"De Bazelstraat",wikidata,M,Q1729180,way
"De Cockstraat",wikidata,M,Q380932,way
"De Genestetstraat",wikidata,M,Q2356743,way
"De Klerkstraat",wikidata,M,Q920277,way
"De Mérodelaan",wikidata,M,Q717388,way
"De Ranitzstraat",wikidata,M,Q2803770,way
"De Savornin Lohmanlaan",wikidata,M,Q560539,way
"De Savornin Lohmanplein",wikidata,M,Q560539,way
"De Sitterstraat",wikidata,M,Q313059,way
Diekhoestertil,wikidata,M,Q104886666,way
"Dirk Huizingastraat",wikidata,M,Q3108022,way
"Domela Nieuwenhuislaan",wikidata,M,Q1374710,way
Donderslaan,wikidata,M,Q1347862,way
"Dorus Rijkersstraat",wikidata,M,Q593372,way
"Dr. C. Hofstede de Grootkade",wikidata,M,Q757837,way
"Dr. D. Bosstraat",wikidata,M,Q2584154,way
