name,source,gender,wikidata,type
"16 Aprillaan",wikidata,,Q4059200,way
Aarhusweg,wikidata,,Q25319,way
Acacialaan,wikidata,,Q81666,way
Agaatstraat,wikidata,,Q123314,way
Aldebaranstraat,wikidata,,Q12170,way
Algollaan,wikidata,,Q13080,way
Amethiststraat,wikidata,,Q79058,way
Andromedastraat,wikidata,,Q9256,way
Antaresstraat,wikidata,,Q12166,way
Antwerpenweg,wikidata,,Q12892,way
Aquamarijnpad,wikidata,,Q58959,way
Aquamarijnstraat,wikidata,,Q58959,way
Avondsterlaan,wikidata,,Q313,way
Barnsteenstraat,wikidata,,Q25381,way
Beijumerweg,wikidata,,Q2145452,way
Beneluxweg,wikidata,,Q13116,way
Berberisstraat,wikidata,,Q158503,way
Bergenweg,wikidata,,Q26793,way
Bergkristalstraat,wikidata,,Q2050687,way
Berkenlaan,wikidata,,Q25243,way
Beukenlaan,wikidata,,Q59779138,way
"Bij de Sluis",wikidata,,Q100323982,way
Blekerstraat,wikidata,,Q2169265,way
Bloedkoraalstraat,wikidata,,Q68429932,way
Bornholmstraat,wikidata,,Q769680,way
Boterdiepbrug,wikidata,,Q2546570,way
Bottelroosstraat,wikidata,,Q634975,way
Brailleweg,wikidata,,Q79894,way
Breedeborg,wikidata,,Q2447151,way
Bremenweg,wikidata,,Q24879,way
Briljantstraat,wikidata,,Q429571,way
Canadalaan,wikidata,,Q16,way
Capellastraat,wikidata,,Q12970,way
Castorstraat,wikidata,,Q13029,way
Centaurstraat,wikidata,,Q8844,way
Coendershaag,wikidata,,Q97636594,way
Coendersweg,wikidata,,Q97636594,way
Coronastraat,wikidata,,Q170754,way
Cuxhavenweg,wikidata,,Q4197,way
"De Bunders",wikidata,,Q1005349,way
"De Larix",wikidata,,Q25618,way
"De Ploeglaan",wikidata,,Q1180242,way
Diamantlaan,wikidata,,Q5283,way
Dierenriemstraat,wikidata,,Q40540,way
Dillenburglaan,wikidata,,Q822186,way
Draakstraat,wikidata,,Q8675,way
Drakesteijnstraat,wikidata,,Q1783601,way
Duindoornstraat,wikidata,,Q165378,way
Edelsteenlaan,wikidata,,Q4990682,way
Eelderbrug,wikidata,,Q225591,way
Eeldersingel,wikidata,,Q225591,way
Eelderstraat,wikidata,,Q225591,way
Eenhoornstraat,wikidata,,Q10428,way
"Eerste Spoorstraat",wikidata,,Q802365,way
Egersundweg,wikidata,,Q1020025,way
Eglantierstraat,wikidata,,Q15546415,way
Eikenlaan,wikidata,,Q33036816,way
Elzenlaan,wikidata,,Q25239,way
Emdenweg,wikidata,,Q4174,way
Eridanusstraat,wikidata,,Q10433,way
Esdoornlaan,wikidata,,Q42292,way
Esperantostraat,wikidata,,Q143,way
Esserhaag,wikidata,,Q2373369,way
Esserlaan,wikidata,,Q2373369,way
Esserweg,wikidata,,Q2373369,way
Europaweg,wikidata,,Q46,way
Euvelgunnerweg,wikidata,,Q2596432,way
Flensburgweg,wikidata,,Q3798,way
Friesestraatweg,wikidata,,Q770,way
Gdanskweg,wikidata,,Q1792,way
"Gelderse Roosstraat",wikidata,,Q156928,way
Geuzenkamp,wikidata,,Q699636,way
Gotenburgweg,wikidata,,Q25287,way
Goudlaan,wikidata,,Q897,way
Groningerweg,wikidata,,Q749,way
"Grote Beerstraat",wikidata,,Q8918,way
Hagedisstraat,wikidata,,Q10430,way
Hagepreekkamp,wikidata,,Q2781658,way
Hammerfestweg,wikidata,,Q721374,way
Hazelaarstraat,wikidata,,Q124969,way
Heerdenpad,wikidata,,Q2197515,way
"Helper Kerkstraat",wikidata,,Q15876176,way
Helsinkistraat,wikidata,,Q1757,way
Herebrug,wikidata,,Q194029,way
Hereplein,wikidata,,Q194029,way
Heresingel,wikidata,,Q194029,way
Herestraat,wikidata,,Q194029,way
Herningweg,wikidata,,Q27393,way
Hilghepad,wikidata,,Q18768966,way
Hoendiepsbrug,wikidata,,Q302505,way
Hondsruglaan,wikidata,,Q1626793,way
Hooghoudtstraat,wikidata,,Q15943389,way
Hoornsediep,wikidata,,Q2597628,way
Hoornsedijk,wikidata,,Q2597628,way
Hunzedijk,wikidata,,Q1310069,way
